label,text,label_num
spam,Congratulations! You have won a special prize offer number 1. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 2 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 3. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 4 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 5. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 6 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 7. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 8 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 9. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 10 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 11. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 12 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 13. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 14 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 15. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 16 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 17. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 18 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 19. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 20 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 21. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 22 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 23. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 24 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 25. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 26 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 27. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 28 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 29. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 30 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 31. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 32 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 33. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 34 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 35. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 36 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 37. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 38 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 39. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 40 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 41. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 42 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 43. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 44 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 45. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 46 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 47. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 48 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 49. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 50 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 51. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 52 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 53. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 54 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 55. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 56 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 57. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 58 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 59. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 60 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 61. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 62 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 63. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 64 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 65. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 66 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 67. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 68 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 69. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 70 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 71. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 72 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 73. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 74 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 75. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 76 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 77. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 78 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 79. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 80 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 81. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 82 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 83. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 84 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 85. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 86 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 87. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 88 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 89. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 90 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 91. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 92 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 93. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 94 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 95. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 96 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 97. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 98 at 10 AM.,0
spam,Congratulations! You have won a special prize offer number 99. Click now to claim.,1
ham,Please note that the meeting is scheduled on day 100 at 10 AM.,0
